CAC40,Nikkei225
5539.609863,18193.41016
5787.439941,18956.55078
5681.319824,18878.08984
5731.049805,19434.7793
6275.720215,19763.13086
6287.009766,19710.01953
6062.720215,19789.0293
6188.640137,19817.88086
6514.109863,19927.53906
6510.279785,19750.40039
6304.279785,19566.32031
6364.259766,19958.08008
6286.049805,20337.32031
6308.040039,20252.81055
6065.709961,20434.67969
6234.509766,18252.67969
6419.720215,17973.69922
6545.759766,18439.35938
6449.27002,17357.85938
6196.049805,16858.16992
6129.149902,16008.13965
6673.52002,16800.06055
6549.049805,16861.91016
6456.259766,16318.30957
6545.350098,16963.21094
6446.540039,17411.05078
6565.970215,17398.24023
6570.359863,17142.90039
6464.120117,16811.49023
6415.720215,15838.57031
6461.350098,15667.36035
6553,16117.5
6594.350098,16280.49023
6595.109863,16911.33008
6813.660156,16739.7793
6703.359863,16501.55078
6614.649902,16213.28027
6258.580078,15818.25
6266.629883,15747.25977
6258.410156,15994.24023
6064.209961,15330.30957
6149.439941,15198.73047
6268.930176,14582.2002
6398.919922,14837.78027
6147.490234,14988.54004
6161.919922,14544.29981
6145.649902,14315.34961
5928.5,14835.33008
5939.319824,14696.50977
5839.540039,14552.29004
5783.72998,13427.08008
5926.419922,13785.69043
5758.02002,13867.61035
5834.339844,13347.74023
5845.72998,13989.12012
5925.620117,13696.05957
5826.370117,13703.62988
5712.359863,13422.83008
5595.129883,13175.49023
5322.839844,13246
5291.919922,12261.79981
5368.890137,12627.90039
5104.77002,12232.98047
4951.129883,13214.54004
5180.450195,12999.7002
5139.709961,13383.75977
5372.709961,13385.71973
5449.339844,13765.66992
5575.970215,13934.32031
5455.549805,14421.63965
5567.25,14043.91992
5638.240234,13877.76953
5581.939941,13765.91992
5432.709961,13261.83984
5439.930176,13430.21973
5243.839844,12790.37988
5183.669922,13044.61035
5225.330078,12969.04981
4999.359863,12306.08008
5025.240234,12355.15039
4880.700195,11908.38965
4967.149902,11798.08008
5031.290039,12241.96973
4846.02002,11735.05957
4777.370117,11445.54004
4916.560059,11166.30957
4689.339844,10713.50977
4413.509766,10516.79004
3909.48999,10008.88965
3652.870117,9554.990234
4079.02002,9774.679688
4164.759766,10205.87012
4336.879883,10632.34961
4264.890137,10538.79004
4478.629883,10795.16016
4369.399902,10383.78027
4514.279785,10215.70996
4587.299805,10649.08984
4573.819824,10696.82031
4476.060059,10697.44043
4642.939941,10796.88965
4340.02002,10511.65039
4499.339844,10335.4502
4624.580078,10542.62012
4682.790039,10871.49023
4554.689941,10441.58984
4448.850098,10293.32031
4484.310059,10144.13965
4455.560059,9791.429688
4299.040039,9686.05957
4377,10048.09961
4245.200195,10356.78027
4486.419922,10812
4629.109863,11885.79004
4588.330078,11648.00977
4601.569824,11345.08008
4688.02002,11024.94043
4515.700195,11335.49023
4468.290039,10962.98047
4606.419922,11512.00977
4453.080078,11541.38965
4354.919922,11551.00977
4329.839844,11531.11035
4442.939941,11847.32031
4337.430176,11976.28027
4274.640137,11763.7002
4020.27002,11438.53027
3843.070068,10920.62988
3799.530029,10354.34961
3897.98999,10621.83984
3863.280029,10826.08984
3513.340088,10601.4502
3324.040039,10202.36035
3172.560059,9591.030273
3245.370117,9709.660156
3447.939941,9999.790039
3374.090088,9788.129883
3526.090088,9867.450195
3366.209961,9619.299805
3246.669922,9129.070313
3156.169922,9241.929688
2890.820068,9481.080078
2950.52002,9530.44043
2765.899902,9027.549805
2902.27002,8529.610352
3156.98999,9086.129883
3056.879883,8726.290039
3109.51001,8685.719727
3058.179932,8690.769531
3162.389893,8503.589844
3305.780029,8772.55957
3326.649902,9215.55957
3185.77002,8863.259766
3076.850098,8516.070313
3082.850098,8406.879883
3011.830078,8714.049805
3187.879883,8578.950195
3160.129883,8470.450195
3056.929932,8690.25
2898.600098,8731.650391
2937.879883,8339.94043
2796.659912,8448.160156
2827.75,8701.919922
2829.830078,8513.540039
2754.070068,8363.040039
2574.909912,8144.120117
2740.01001,8002.689941
2890.679932,8195.049805
2733,8280.160156
2837.959961,8074.120117
2838.139893,7816.490234
2898.610107,7874.509766
2866.73999,7699.5
2963.120117,7907.189941
2967.889893,8152.160156
2994.870117,8117.290039
2897.159912,8184.759766
2991.75,8424.509766
3093.209961,8785.870117
3108.939941,8980.639648
3190.110107,9120.389648
3109.02002,9104.05957
3072.399902,9547.730469
3138.27002,9635.349609
3129.209961,9527.730469
3109.320068,9648.009766
